date,qjd_close,gm_close
2016-01-04,14.53,14.47
2016-01-05,14.39,14.68
2016-01-06,14.73,14.87
2016-01-07,13.48,13.74
2016-01-08,13.75,13.89
2016-01-11,12.86,12.62
2016-01-12,13.04,12.71
2016-01-13,12.75,11.85
2016-01-14,13.01,12.01
2016-01-15,12.66,11.59
2016-01-18,12.86,11.59
2016-01-19,13.23,11.97
2016-01-20,12.97,11.72
2016-01-21,12.62,11.37
2016-01-22,12.79,11.51
2016-01-25,12.91,11.59
2016-01-26,12.34,10.87
2016-01-27,12.29,10.49
2016-01-28,12.07,10.21
2016-01-29,12.55,10.49
2016-02-01,12.36,10.15
2016-02-02,12.67,10.41
2016-02-03,12.79,10.39
2016-02-04,12.99,10.53
2016-02-05,12.79,10.42
2016-02-15,12.71,10.44
2016-02-16,13.1,10.77
2016-02-17,13.09,10.85
2016-02-18,13.02,10.83
2016-02-19,13.02,10.94
2016-02-22,13.22,11.15
2016-02-23,13.09,11.06
2016-02-24,13.23,11.29
2016-02-25,12.5,10.39
2016-02-26,12.9,10.49
2016-02-29,12.46,10.49
2016-03-01,12.56,10.1
2016-03-02,13.1,10.54
2016-03-03,12.97,10.88
2016-03-04,12.81,10.69
2016-03-07,13.12,11.19
2016-03-08,12.97,11.09
2016-03-09,12.55,10.86
2016-03-10,12.39,10.6
2016-03-11,12.34,10.6
2016-03-14,12.62,10.78
2016-03-15,12.49,10.8
2016-03-16,12.29,10.82
2016-03-17,12.57,11.05
2016-03-18,12.91,11.26
2016-03-21,13.11,11.52
2016-03-22,13.04,11.6
2016-03-23,13.07,11.58
2016-03-24,12.9,11.31
2016-03-25,13.44,11.51
2016-03-28,13.25,11.4
2016-03-29,12.88,11.15
2016-03-30,13.18,11.45
2016-03-31,13.22,11.7
2016-04-01,13.12,11.58
2016-04-05,13.4,11.8
2016-04-06,13.42,11.77
2016-04-07,13.33,11.64
2016-04-08,14.1,11.34
2016-04-11,13.97,11.64
2016-04-12,13.63,11.57
2016-04-13,13.79,11.6
2016-04-14,13.87,11.66
2016-04-15,13.8,11.8
2016-04-18,13.56,11.6
2016-04-19,13.61,11.49
2016-04-20,13.11,10.86
2016-04-21,13.5,10.79
2016-04-22,13.83,11.01
2016-04-25,13.43,11.03
2016-04-26,13.53,11.01
2016-04-27,13.36,10.89
2016-04-28,13.23,10.93
2016-04-29,13.3,11.54
2016-05-03,13.63,12.29
2016-05-04,13.57,12.31
2016-05-05,13.65,12.54
2016-05-06,13.19,12.1
